StudentID,StudentName,Major
62000001,Samantha Kelly,Mathematics
62000002,John Carlson,Chemistry
62000003,Michael Cooper,Computer Science
62000004,Denise Jacobs,Economics
62000005,Carl Castillo,Psychology
62000006,Melody Acosta,Psychology
62000007,Cynthia Ward,Chemistry
62000008,Antonio Leon,Computer Science
62000009,Cody Allen,Law
62000010,Sarah Powell,Biology
62000011,Christopher Salazar,Biology
62000012,Christian Gates,Statistics
62000013,Roger Todd,Psychology
62000014,Sara Black,Computer Science
62000015,Michael Perry,Gender Studies
62000016,Ashley Hall,Economics
62000017,Elizabeth Wood,Chemistry
62000018,Ann Bowman,Computer Science
62000019,Kristin Cobb,Biology
62000020,John Green,Computer Science
62000021,Brandy Peck,Computer Science
62000022,Jean Dalton,Mathematics
62000023,Jeremy Neal,Chemistry
62000024,Jennifer Huerta,Law
62000025,Nicole Simmons,Biology
62000026,Joseph Lawrence,Psychology
62000027,Melissa Tanner,Statistics
62000028,David Hamilton,Psychology
62000029,William Smith,Economics
62000030,Denise Miller,Physics
62000031,Misty Franklin,Physics
62000032,Alyssa Martinez,Economics
62000033,Stephen Porter,Chemistry
62000034,Brian Ramos,Physics
62000035,Carolyn Casey,Psychology
62000036,Wendy Perry,Biology
62000037,Brian Reyes,Statistics
62000038,Joseph Thompson,Computer Science
62000039,David Smith,Physics
62000040,Adriana Henderson,Computer Science
62000041,Nicholas Palmer,Mathematics
62000042,Connie Miller,Chemistry
62000043,Melissa Lewis,Computer Science
62000044,Grant Gonzalez,Statistics
62000045,Tina Gilbert,Biology
62000046,Austin Taylor,Psychology
62000047,Natalie Gray,Computer Science
62000048,Wayne Khan,Chemistry
62000049,Carl Escobar,Mathematics
62000050,Dawn Norris,Economics
62000051,Gregory Atkins,Physics
62000052,Joe Davis,Computer Science
62000053,Amber Rodriguez,Biology
62000054,Jason Torres,Economics
62000055,Glenn Blanchard,Statistics
62000056,Charles Diaz,Gender Studies
62000057,Antonio Baker,Computer Science
62000058,Antonio Cruz,Computer Science
62000059,Kellie Smith,Computer Science
62000060,Thomas Kim,Gender Studies
62000061,Teresa Acevedo,Law
62000062,Nicole Reyes,Law
62000063,Phillip Gibson,Gender Studies
62000064,Melissa Oliver,Computer Science
62000065,Justin Cook,Chemistry
62000066,Cindy Simpson,Gender Studies
62000067,Dana Garcia,Psychology
62000068,Lisa Alexander,Law
62000069,Peter Dillon,Statistics
62000070,William Lopez,Mathematics
62000071,Kristin Combs,Psychology
62000072,Tiffany Ewing,Law
62000073,Rebecca Jones,Mathematics
62000074,Mark Jackson,Gender Studies
62000075,Molly Murray,Chemistry
62000076,Isabella Robertson,Biology
62000077,David Trujillo,Computer Science
62000078,Joseph King,Law
62000079,Robin Carter,Chemistry
62000080,Travis Pham,Chemistry
62000081,Tiffany Butler,Computer Science
62000082,Betty Ramos,Physics
62000083,Joshua Davis,Mathematics
62000084,Alan Carter,Physics
62000085,Steven Moran,Mathematics
62000086,Kimberly Deleon,Chemistry
62000087,Joseph Park,Psychology
62000088,Marcus Reyes,Computer Science
62000089,Andrew Smith,Mathematics
62000090,Benjamin Baldwin,Statistics
62000091,April Brewer,Economics
62000092,John Mcbride,Gender Studies
62000093,Gina Webb,Mathematics
62000094,Brandon Lewis,Physics
62000095,Abigail Wang,Psychology
62000096,Melissa Arnold,Law
62000097,Jamie Crawford,Mathematics
62000098,Marissa Alexander,Computer Science
62000099,Samantha Fowler,Gender Studies
62000100,Nathaniel Ward,Economics
62000101,Jeffrey Ryan,Economics
62000102,David Cowan,Economics
62000103,Katelyn Schultz,Statistics
62000104,Brittany Montgomery,Law
62000105,Jennifer Jackson,Biology
62000106,Paul Webster,Economics
62000107,Annette Lopez,Statistics
62000108,Joseph Vance,Computer Science
62000109,Jonathan Parker,Gender Studies
62000110,Mark Foster,Statistics
62000111,Susan Andrade,Mathematics
62000112,Michelle Brown,Physics
62000113,Donald Summers,Economics
62000114,Kimberly Mclaughlin,Computer Science
62000115,Derek Jimenez,Law
62000116,Dillon Payne,Gender Studies
62000117,Betty Frank,Mathematics
62000118,Tammy Rivas,Gender Studies
62000119,Natalie Hill,Gender Studies
62000120,Mary Aguilar,Psychology
62000121,Kathleen Moreno,Statistics
62000122,Toni White,Law
62000123,Lori Henry,Physics
62000124,Albert Taylor,Psychology
62000125,Daniel Sanchez,Gender Studies
62000126,Jose Moore,Computer Science
62000127,Paige Medina,Biology
62000128,Amanda Salazar,Physics
62000129,Deborah Lopez,Computer Science
62000130,Beth Jackson,Mathematics
62000131,Christopher Scott,Computer Science
62000132,Crystal Hernandez,Law
62000133,Daniel Cox,Computer Science
62000134,Eileen Carey,Economics
62000135,Krystal Garcia,Biology
62000136,Jane Jimenez,Gender Studies
62000137,Christine Vaughn,Law
62000138,Garrett Boyd,Law
62000139,Rachel Smith,Biology
62000140,Steven English,Economics
62000141,Don Mcclain,Biology
62000142,Jesus Gardner,Psychology
62000143,Margaret Randall,Computer Science
62000144,Michelle Price,Physics
62000145,James Jones,Law
62000146,Lauren Roman,Computer Science
62000147,Charles Price,Gender Studies
62000148,Jill Clay,Mathematics
62000149,Caroline Ellis,Psychology
62000150,Ronald Murray,Gender Studies
62000151,William May,Physics
62000152,Megan Ross,Economics
62000153,Matthew Esparza,Physics
62000154,Robert Harris,Statistics
62000155,Beth Riggs,Law
62000156,Claudia White,Biology
62000157,Christopher Ramos,Psychology
62000158,Brittney Arnold,Computer Science
62000159,Sherry Russell,Physics
62000160,Jasmine Rodriguez,Physics
62000161,Guy Smith,Mathematics
62000162,Brian Stewart,Mathematics
62000163,Alexis James,Computer Science
62000164,Kimberly Farmer,Physics
62000165,Tanya Butler,Gender Studies
62000166,Jennifer Meza,Law
62000167,Susan Clark,Biology
62000168,Stephanie Werner,Mathematics
62000169,Monica Nunez,Gender Studies
62000170,Richard Holloway,Chemistry
62000171,Vincent Ward,Statistics
62000172,Sarah Martin,Economics
62000173,Molly Williams,Gender Studies
62000174,Melissa Douglas,Statistics
62000175,Thomas Hudson,Physics
62000176,Allison Rodriguez,Physics
62000177,Jordan Rosario,Mathematics
62000178,Christina Patel,Law
62000179,Edwin Patel,Chemistry
62000180,Marilyn Page,Chemistry
62000181,Jodi Chen,Mathematics
62000182,Morgan Wolf,Biology
62000183,Katelyn White,Mathematics
62000184,Karen Bowers,Psychology
62000185,Patricia Bowen,Computer Science
62000186,Jeffrey Walker,Economics
62000187,Donna Frye,Law
62000188,Stephanie Palmer,Biology
62000189,William Love,Economics
62000190,Isaac Barnes,Psychology
62000191,Paige Wright,Mathematics
62000192,Scott Gibbs,Biology
62000193,Barbara Roman,Physics
62000194,Laura Owens,Mathematics
62000195,Cynthia Mcintyre,Computer Science
62000196,James Wright,Physics
62000197,Amanda Shields,Law
62000198,Jennifer Holt,Gender Studies
62000199,Michelle Myers,Computer Science
62000200,Kelsey Walker,Physics
62000201,Gilbert Buchanan,Computer Science
62000202,David Norris,Computer Science
62000203,William Salazar,Biology
62000204,Allen Dougherty,Economics
62000205,Travis Brewer,Gender Studies
62000206,Erica White,Psychology
62000207,Andrew Sexton,Gender Studies
62000208,Michael Green,Law
62000209,Carl Diaz,Mathematics
62000210,Joshua Tucker,Psychology
62000211,Robert Richardson,Law
62000212,Joseph Robbins,Physics
62000213,Jonathan Conway,Chemistry
62000214,Taylor Powell,Physics
62000215,Cathy Bell,Biology
